tweetId,tweetReply,tweetRetweet,tweetLike,tweetView,topReply,topRetweet,topLike,topView,replyReply,replyRetweet,replyLike,replyView,webAccess,webComment,webOrder,webRate,webUser,tweetFollower,tweetFollowing,userFollower,userFollowing
663dda848a8c08fdc36bde71,28,42,161,70887,13,6,35,19246,0,0,0,0,0,0,0,0,0,36600,3607,3,14
663dda848a8c08fdc36bde6d,12,35,35,2198,0,0,0,9,0,0,0,0,0,0,0,0,0,57,13,3,14
663dda848a8c08fdc36bde69,43,5,41,10894,1,0,30,283,0,0,0,0,0,0,0,0,0,2067,2261,3,14
663dda838a8c08fdc36bde65,19,17,123,14914,0,0,5,141,0,0,0,0,0,0,0,0,0,2067,2261,3,14
663dda838a8c08fdc36bde61,134,48,69,2214,0,1,1,64,0,0,0,0,0,0,0,0,0,6410,124,3,14
663dda828a8c08fdc36bde5d,26,8,33,1362,0,0,0,13,0,0,0,0,0,0,0,0,0,13700,53,3,14
663dda828a8c08fdc36bde59,16,1,5,878,3,0,2,104,0,0,0,0,0,0,0,0,0,129,265,3,14
663dd71e8a8c08fdc36bde52,13,3,10,1,4,1,13,13,0,0,0,0,0,0,0,0,0,1787,364,0,0
663dd71e8a8c08fdc36bde4e,39,28,488,2,0,0,2,2,0,0,0,0,0,0,0,0,0,4065,1377,0,0
663dd71e8a8c08fdc36bde4a,22,8,215,11,1,1,1,1,0,0,0,0,0,0,0,0,0,73,78,0,0
663dd6e18a8c08fdc36bde41,260,410,1384,188709,36,1,30,3472,0,0,0,0,0,0,0,0,0,296,32,0,0
663dd6e08a8c08fdc36bde3d,33,96,478,23137,8,1,13,298,0,0,0,0,0,0,0,0,0,478,1553,0,0
663dd6e08a8c08fdc36bde35,35,85,215,3430,1,6,10,276,0,0,0,0,0,0,0,0,0,509,265,0,0
663dd4218a8c08fdc36bddea,14,3,20,3217,1,0,2,110,0,0,0,0,0,0,0,0,0,11100,1143,0,0
663dd4218a8c08fdc36bdde6,33,21,51,6901,2,3,11,509,0,0,0,0,0,0,0,0,0,9926,426,0,0
663dd4208a8c08fdc36bdde2,3705,2371,29397,1033873,268,190,2700,294202,0,0,0,0,0,0,0,0,0,1514,1038,0,0
663dd4208a8c08fdc36bddde,80,26,87,8036,7,0,1,69,0,0,0,0,0,0,0,0,0,163,264,0,0
663dd4208a8c08fdc36bddda,46,36,170,4040,2,0,3,68,0,0,0,0,0,0,0,0,0,10300,8064,0,0
663dd41f8a8c08fdc36bddd6,29,53,437,36113,1,0,6,699,0,0,0,0,0,0,0,0,0,290,1577,0,0
663dd41f8a8c08fdc36bddd2,20,36,162,13630,1,0,6,206,0,0,0,0,0,0,0,0,0,101800,37100,0,0
663dc6e85cb0d6a45d927bc4,27,21,116,116,2,4,151,733719,0,0,0,0,0,0,0,0,0,374,463,0,0
